Date,F1,F2,F3,F4,F5,F6,F7,F8,F9
2/7/11,16.95,18.45,19.6,20.4,21.15,21.95,22.5,23.05,0
2/8/11,16.85,18.2,19.35,20.05,20.85,21.65,22.15,22.75,0
2/9/11,16.85,18.25,19.3,20.05,20.8,21.6,22.1,22.7,0
2/10/11,16.9,18.3,19.3,19.95,20.6,21.3,21.75,22.3,0
2/11/11,16.6,18.05,19.15,19.85,20.45,21.15,21.55,22.1,0
2/14/11,16.45,17.85,18.95,19.75,20.4,21.1,21.5,22.05,0
2/15/11,16.7,18.05,19,19.9,20.55,21.25,21.6,22.15,0
2/16/11,18.3,19.35,20.15,20.7,21.4,21.65,22.2,22.15,0
2/17/11,18.45,19.65,20.5,21.1,21.7,21.95,22.45,22.15,0
2/18/11,18.6,19.8,20.8,21.45,21.95,22.2,22.7,22.15,0
2/22/11,21.15,21.6,22.3,22.75,23.2,23.35,23.75,24,0
2/23/11,22.25,22.55,23.1,23.4,23.8,23.95,24.35,24.55,0
2/24/11,21.85,22.35,23,23.3,23.75,23.95,24.35,24.55,0
2/25/11,20.15,21.15,22.05,22.55,23.1,23.35,23.75,24,0
2/28/11,19.2,20.3,21.45,22,22.6,23,23.45,23.75,0
3/1/11,21.2,21.7,22.5,22.9,23.45,23.8,24.25,24.45,0
3/2/11,21.1,21.6,22.4,22.85,23.45,23.75,24.2,24.45,0
3/3/11,19.7,20.7,21.65,22.1,22.85,23.15,23.65,23.85,0
3/4/11,20.05,21.15,22.05,22.5,23.15,23.45,24,24.2,0
3/7/11,21.05,21.8,22.6,23,23.65,23.95,24.5,24.65,0
3/8/11,20.45,21.4,22.4,22.85,23.55,23.8,24.45,24.6,0
3/9/11,21.05,21.8,22.65,23.1,23.75,24,24.65,24.8,0
3/10/11,22.25,22.7,23.35,23.8,24.4,24.6,25.25,25.35,0
3/11/11,21.3,22.05,22.9,23.3,24.05,24.2,24.85,24.95,0
3/14/11,21.7,22.3,23.1,23.55,24.25,24.45,25.15,25.25,0
3/15/11,24.6,23.45,23.75,24.15,24.75,24.9,25.6,25.65,0
3/16/11,24.9,25.15,25.2,25.8,25.9,26.5,26.7,25.65,0
3/17/11,24.15,24.4,24.6,25,25.05,25.6,25.85,25.65,0
3/18/11,23.35,23.65,23.9,24.2,24.25,24.75,25,25.65,0
3/21/11,21.6,22.3,22.75,23.05,23.2,23.8,24.1,23.95,0
3/22/11,21.5,22.25,22.8,23.1,23.3,23.9,24.2,24.3,0
3/23/11,20.5,21.6,22.35,22.8,23.05,23.7,24.05,24.1,0
3/24/11,19.95,21.05,21.9,22.45,22.8,23.45,23.95,24,0
3/25/11,19.75,21.05,21.9,22.55,22.9,23.65,24.15,24.35,0
3/28/11,20.3,21.55,22.2,22.75,23,23.75,24.3,24.45,0
3/29/11,19.6,20.95,21.75,22.25,22.65,23.4,24,24.15,0
